Who can cancel a sprint? (choose the best answer) ;The Product Owner;I;The Scrum Master;H;The Stakeholders;H;The Scrum Team;H;;;;;;;;;;;;
True or False: Multiple Scrum Teams working on the same product must have the same Sprint start date.;TRUE;H;FALSE;I;;;;;;;;;;;;;;;;
A Scrum Master is keeping a list of open impediments, but it is growing and they have been able to resolve only a small portion of the impediments. Which two techniques would be most helpful in this situation? (choose the best two answers);Prioritize the list and work on them in order.;I;Arrange a triage meeting with all project managers. ;H;Discuss the impediments with the Development Team. ;I;Add each open impediment to the Product Backlog.;H;;;;;;;;;;;;
What are two ways that architecture and infrastructure are handled in Scrum? (choose the best two answers);They are implemented along with functional development of the product.;I;They are discussed, determined and documented before the actual feature development Sprints.;H;They are added to the Product Backlog and addressed in early Sprints while always requiring at least some business functionality, no matter how small.;I;They are built by a separate team through the creation of an architectural runway.;H;;;;;;;;;;;;
Which two things are appropriate for a Scrum Master to do, if the Scrum Team does not have the tools and environment to completely finish each selected Product Backlog item? (choose the best two answers);Encourage the Product Owner to accept partially done Increments until the situation improves.;I;Have the Scrum Team establish a Definition of Done that is actually possible to achieve given current circumstances.;H;Declare the Scrum Team not ready for Scrum.;H;Coach the Scrum Team to improve its skills, tools and environment over time and adjust the Definition of Done accordingly.;I;Refocus the current Sprint on establishing the Scrum Team's environment instead of delivering an Increment;H;;;;;;;;;;
Which two of the following are true about the Scrum Master? (choose the best two answers);The Scrum Master teaches the Scrum Team to use timeboxes.;I;The Scrum Master is responsible for updating the Sprint Burndown.;H;The Scrum Master assigns tasks to Developers when they need work.;H;The Scrum Master helps those outside the team interact with the Scrum Team.;H;At the Sprint Review, the Scrum Master identifies what work is done and not done.;I;;;;;;;;;;
You have just been hired by a company new to Scrum. Your management has assigned you to be the Scrum Master of six new Scrum Teams. These teams will build one product. Select two conditions you should strive for in this scenario. (choose the best two answers);There should be six Product Owners, one for each Scrum Team.;H;There should be only one Product Owner.;I;Each Scrum Team should have a separate Product Backlog.;H;The product has one Product Backlog.;I;There should be six Product Owners, reporting to a Chief Product Owner.;H;;;;;;;;;;
Choose two responsibilities of a self-organizing Development Team. (choose the best two answers);Report daily progress to stakeholders.;H;Increase velocity.;H;Reorder the Product Backlog.;H;Pull Product Backlog items for the Sprint.;I;Do the work planned in the Sprint Backlog.;I;;;;;;;;;;
A Scrum Team has been working on a product for six Sprints. A new Product Owner comes in, understanding he is accountable for the Product Backlog. However, he is unsure about his responsibilities. Which two activities are part of the Product Owner role according to Scrum? (choose the best two answers);Ensuring that the most valuable functionality is produced first, at all times.;I;Describing features as Use Cases.;H;Creating detailed functional test cases.;H;Providing the Development Team with detailed specifications.;H;Interacting with stakeholders.;I;;;;;;;;;;
What does it mean to say that an event has a time-box? (choose best answer);The event must take at least a minimum amount of time.;H;The event must happen at a set time.;H;The event must happen by a given time.;H;The event can take no more than a maximum amount of time.;I;;;;;;;;;;;;
The three pillars of empiricism are: (choose the best answer) ;Respet For People, Kaizen, Eliminating Waste;H;Planning, Inspection, Adaptation;H;Planning, Demonstation, Retrospective;H;Inspectation, Transparency, Adaptation;I;Transparency, Eliminating Waste, Kaizen;H;;;;;;;;;;
Which three the following are timeboxed events in Scrum? (choose the best three answers);Sprint Testing;H;Sprint Retrospective;I;Sprint 0;H;Sprint Planning;I;Release Planning;H;Daily Scrum;I;Release Retrospective;H;;;;;;
As the Development Team starts work during the Sprint, it realizes it has selected too much work to finish in the Sprint. What should it do? (choose the best answer);As soon as possible in the Sprint, work with the Product Owner to remove some work or Product Backlog items.;I;"Reduce the definition of ""Done"" and get all of the Product Backlog items ""Done"" by the new definition.";H;Inform the Product Owner at the Sprint Review, but prior to the demonstration. ;H;Find another Scrum Team to give the excess work to.;H;;;;;;;;;;;;
Which output from Sprint Planning provides the Scrum Team with a target and overarching direction for the Sprint? (choose the best answer);The Sprint Goal;I;Sprint Review minutes.;H;The release plan.;H;The Sprint Backlog.;H;;;;;;;;;;;;
